# Undirected graph (each unordered pair of nodes is saved once): mygraph.txt
# Nodes: 985 Edges: 3020
# NodeId	NodeId
0	48
0	340
0	345
0	350
0	608
0	892
1	52
1	605
1	628
1	683
1	869
2	3
2	12
2	165
2	170
2	187
2	353
2	371
2	607
2	614
3	12
3	187
3	203
3	353
3	371
3	607
3	638
4	162
4	175
4	179
4	405
4	612
4	639
4	936
5	72
5	96
5	219
5	343
5	474
5	763
5	967
6	177
6	421
6	618
6	644
6	656
6	950
7	26
7	103
7	193
7	247
7	367
7	447
7	511
7	521
8	116
8	279
8	284
8	451
8	621
8	668
8	732
9	86
9	241
9	280
9	376
9	898
10	180
10	185
10	351
10	608
10	611
10	620
10	872
11	37
11	131
11	364
11	615
11	641
11	685
11	895
12	170
12	187
12	203
12	353
12	358
12	614
12	616
12	638
13	197
13	263
13	348
13	386
13	435
13	632
13	674
13	885
13	941
14	205
14	335
14	344
14	870
14	908
15	210
15	250
15	406
15	769
15	969
16	19
16	86
16	382
16	400
16	462
16	463
16	604
16	672
16	898
17	158
17	355
17	424
17	474
17	919
18	337
18	375
18	407
18	873
18	954
19	382
19	400
19	462
19	604
20	82
20	261
20	395
20	418
20	739
20	943
21	361
21	369
21	459
21	605
21	662
21	909
21	977
22	24
22	380
22	396
22	438
22	902
22	972
23	73
23	188
23	191
23	636
23	875
23	920
23	930
23	935
24	44
24	380
24	396
24	972
25	208
25	650
25	729
25	736
25	902
25	972
26	193
26	247
26	359
26	367
26	521
27	133
27	263
27	435
27	632
27	677
27	699
27	911
28	32
28	119
28	408
28	623
28	642
29	51
29	53
29	198
29	425
29	496
29	647
29	648
29	960
30	34
30	171
30	173
30	192
30	488
30	717
30	740
30	945
30	953
31	196
31	357
31	630
31	631
31	913
31	956
32	113
32	408
32	623
32	642
32	681
33	67
33	183
33	208
33	384
33	438
34	97
34	171
34	173
34	192
34	488
34	717
34	740
34	945
34	953
35	37
35	47
35	299
35	391
35	491
35	877
35	879
36	181
36	184
36	352
36	365
36	634
37	299
37	641
37	879
38	90
38	347
38	461
38	643
38	894
38	962
39	236
39	336
39	423
39	710
39	716
39	881
40	74
40	98
40	117
40	246
40	318
40	622
41	105
41	197
41	348
41	373
41	386
41	610
41	626
41	627
41	897
42	50
42	79
42	147
42	160
42	204
42	437
42	730
42	775
43	60
43	482
43	603
43	700
43	959
44	196
44	250
44	380
44	396
44	956
44	972
45	375
45	407
45	430
45	636
45	678
46	59
46	75
46	288
46	370
46	397
46	657
46	667
46	932
47	49
47	80
47	200
47	299
47	491
47	628
47	637
47	981
48	340
48	345
48	358
48	698
48	892
49	80
49	491
49	912
49	928
49	981
50	79
50	147
50	160
50	204
50	437
50	730
50	775
51	53
51	198
51	388
51	425
51	496
51	647
52	68
52	88
52	633
52	640
52	890
53	387
53	388
53	496
53	633
53	647
53	890
54	213
54	361
54	422
54	605
54	869
54	887
54	915
55	402
55	439
55	480
55	509
55	652
55	800
55	968
56	205
56	344
56	352
56	410
56	443
56	870
56	908
57	122
57	221
57	354
57	419
57	659
57	868
58	72
58	92
58	485
58	693
58	738
58	763
58	967
59	228
59	288
59	731
59	978
60	257
60	264
60	466
60	700
60	792
60	959
61	63
61	189
61	281
61	409
61	957
62	254
62	272
62	749
62	790
62	806
62	933
62	937
63	174
63	372
63	409
63	508
63	761
63	957
64	212
64	392
64	422
64	613
64	899
65	108
65	122
65	349
65	377
65	676
66	76
66	215
66	401
66	429
66	741
66	821
66	965
67	183
67	208
67	384
67	438
67	650
67	902
68	88
68	633
68	640
68	890
69	93
69	114
69	458
69	671
69	929
70	78
70	91
70	118
70	269
70	949
71	127
71	290
71	452
71	542
71	548
71	854
72	219
72	343
72	474
72	763
72	967
73	457
73	737
73	875
73	920
73	935
73	970
74	101
74	268
74	368
74	622
74	796
75	212
75	370
75	392
75	397
76	401
76	429
76	458
76	741
76	821
76	929
76	965
77	137
77	266
77	464
77	470
77	479
77	512
77	513
77	703
77	805
77	807
78	91
78	114
78	118
78	774
79	160
79	437
79	727
80	200
80	628
80	637
81	178
81	211
81	217
81	625
81	684
81	726
81	900
82	395
82	418
82	666
82	938
82	943
83	237
83	430
83	678
83	692
83	875
83	927
84	259
84	456
84	722
84	918
84	980
85	293
85	473
85	493
85	522
85	803
86	241
86	280
86	376
86	382
86	463
86	898
87	115
87	124
87	534
87	539
87	714
87	758
87	765
87	827
88	633
88	640
88	890
89	234
89	237
89	273
89	441
89	504
89	535
90	167
90	347
90	894
90	962
91	110
91	118
91	745
91	931
92	190
92	355
92	688
92	693
92	738
93	114
93	129
93	209
93	705
93	774
94	383
94	414
94	485
94	715
94	822
95	244
95	306
95	519
95	810
95	820
95	975
96	315
96	343
96	410
96	443
97	171
97	401
97	679
97	717
97	945
97	953
98	117
98	246
98	310
98	622
99	229
99	405
99	440
99	889
99	891
100	120
100	146
100	473
100	503
100	522
101	268
101	310
101	446
101	796
102	106
102	297
102	518
102	663
102	844
103	163
103	182
103	367
103	447
103	619
104	328
104	722
104	733
104	855
104	918
105	373
105	626
105	627
105	897
106	297
106	518
106	663
106	844
107	385
107	487
107	677
107	699
107	911
107	924
107	941
108	240
108	349
108	377
108	412
108	646
108	676
109	270
109	301
109	323
109	766
109	979
110	249
110	269
110	723
110	745
110	931
110	949
110	958
111	291
111	306
111	475
111	519
111	781
111	964
111	975
112	712
112	776
112	831
112	916
112	951
113	408
113	623
113	642
113	681
113	803
114	209
114	705
114	774
115	124
115	534
115	539
115	714
115	765
115	827
116	279
116	284
116	332
116	546
116	732
117	246
117	310
117	318
117	622
118	774
118	949
119	412
119	646
119	664
119	744
120	121
120	146
120	308
120	473
120	503
120	522
120	789
120	824
120	826
121	169
121	308
121	789
121	824
121	826
121	866
122	221
122	349
122	377
122	419
122	659
123	550
123	682
123	854
123	963
123	974
124	534
124	714
124	758
124	765
125	136
125	141
125	150
125	303
125	502
125	533
126	441
126	460
126	504
126	692
126	917
127	290
127	452
127	542
127	548
128	216
128	260
128	426
128	469
128	706
128	983
129	209
129	411
129	657
129	705
129	932
130	145
130	149
130	151
130	476
130	520
130	718
131	364
131	615
131	662
131	685
131	895
132	314
132	524
132	756
132	816
132	863
133	435
133	449
133	815
133	926
134	169
134	309
134	552
134	789
134	866
135	327
135	547
135	552
135	864
135	968
136	141
136	150
136	303
136	502
137	283
137	512
137	665
137	701
137	805
137	948
138	373
138	617
138	619
138	795
138	839
139	257
139	261
139	466
139	700
139	739
139	792
140	300
140	313
140	431
140	481
140	531
141	150
141	303
141	502
141	533
142	242
142	468
142	484
142	686
142	778
142	833
143	467
143	675
143	722
143	733
143	772
143	855
144	445
144	449
144	787
144	815
144	926
145	149
145	151
145	476
145	520
146	473
146	503
146	522
147	204
147	239
147	719
147	730
147	775
148	290
148	295
148	785
148	790
148	838
149	151
149	476
149	507
149	520
149	718
150	303
150	502
150	533
151	476
151	507
151	520
151	718
152	153
152	248
152	295
152	326
152	472
152	540
152	785
152	829
152	840
152	984
153	314
153	472
153	529
153	840
154	155
154	157
154	316
154	537
154	847
154	850
155	157
155	316
155	472
155	829
155	850
155	861
155	984
156	172
156	374
156	423
156	793
156	851
157	316
157	472
157	816
157	850
158	355
158	424
158	474
158	919
159	252
159	338
159	514
159	711
159	916
160	204
160	271
160	437
160	727
160	767
161	170
161	350
161	614
161	616
161	878
162	179
162	235
162	381
162	639
162	876
163	182
163	373
163	447
163	897
164	165
164	337
164	356
164	527
164	878
165	170
165	337
165	356
165	527
165	878
166	167
166	889
166	894
166	896
166	962
167	894
167	896
167	962
168	207
168	292
168	341
168	342
168	906
169	309
169	789
169	866
170	187
170	353
170	614
170	616
171	173
171	192
171	740
171	953
172	374
172	423
172	793
172	851
173	192
173	740
173	953
174	372
174	508
174	761
174	957
175	179
175	405
175	612
175	639
175	936
176	606
176	631
176	880
176	884
176	913
177	421
177	618
177	644
177	656
177	950
178	293
178	489
178	493
178	684
178	802
178	900
179	405
179	612
179	639
180	185
180	351
180	611
180	620
181	315
181	365
181	410
181	634
182	373
182	447
182	897
183	208
183	384
183	455
184	365
184	606
184	634
184	884
185	351
185	611
185	620
186	226
186	277
186	360
186	434
186	505
186	624
186	680
186	944
187	203
187	353
187	371
187	638
188	375
188	407
188	636
188	930
189	281
189	296
189	307
189	409
189	454
190	243
190	275
190	688
190	693
190	849
191	636
191	920
191	930
191	935
192	740
192	953
193	339
193	359
193	367
193	389
193	691
194	195
194	199
194	366
